id,ppgG,ppgIR,ppgR,statusG,statusIR,statusR,timestamp
112,68588,7454135,5499599,0,0,0,1748698245606
113,69271,7450691,5497241,0,0,0,1748698245646
114,69355,7441352,5488768,0,0,0,1748698245686
115,68572,7424192,5475556,0,0,0,1748698245726
116,67959,7408369,5465462,0,0,0,1748698245766
117,67490,7393140,5454223,0,0,0,1748698245806
118,67240,7379375,5443347,0,0,0,1748698245846
119,66513,7369841,5435359,0,0,0,1748698245886
120,66211,7364891,5432275,0,0,0,1748698245926
121,66302,7366077,5433864,0,0,0,1748698245966
122,66057,7365578,5433306,0,0,0,1748698246006
123,65002,7367759,5437468,0,0,0,1748698246046
124,64171,7370644,5442026,0,0,0,1748698246086
125,63947,7380751,5451237,0,0,0,1748698246126
126,64470,7392232,5462605,0,0,0,1748698246166
127,65336,7403249,5471453,0,0,0,1748698246206
128,66705,7420061,5486163,0,0,0,1748698246246
129,67646,7432587,5496620,0,0,0,1748698246286
130,67763,7428397,5494756,0,0,0,1748698246326
131,67599,7427158,5495276,0,0,0,1748698246366
132,67241,7415179,5487435,0,0,0,1748698246406
133,66689,7397114,5474690,0,0,0,1748698246446
134,66461,7389310,5470279,0,0,0,1748698246486
135,66503,7379946,5464263,0,0,0,1748698246526
136,66534,7379633,5464026,0,0,0,1748698246566
137,66425,7389762,5473051,0,0,0,1748698246606
138,65646,7397753,5478368,0,0,0,1748698246646
139,64716,7404830,5483874,0,0,0,1748698246686
140,64592,7407584,5485818,0,0,0,1748698246726
141,64535,7405306,5483579,0,0,0,1748698246766
142,64938,7398954,5479177,0,0,0,1748698246806
143,65458,7395711,5478811,0,0,0,1748698246846
144,66561,7406541,5488166,0,0,0,1748698246886
145,65668,7397494,5479262,0,0,0,1748698246926
146,63940,7385628,5470473,0,0,0,1748698246966
147,63499,7384237,5471398,0,0,0,1748698247006
148,62569,7379840,5467436,0,0,0,1748698247046
149,61652,7370016,5459208,0,0,0,1748698247086
150,59909,7341392,5433971,0,0,0,1748698247126
151,58674,7331618,5428193,0,0,0,1748698247166
152,56849,7320625,5420613,0,0,0,1748698247206
153,55107,7318470,5418835,0,0,0,1748698247246
154,52535,7314342,5416553,0,0,0,1748698247286
155,51018,7310987,5414482,0,0,0,1748698247326
156,50067,7316705,5419161,0,0,0,1748698247366
157,50222,7328253,5429196,0,0,0,1748698247406
158,51104,7336785,5436707,0,0,0,1748698247446
159,51990,7348788,5446007,0,0,0,1748698247486
160,53568,7365371,5458729,0,0,0,1748698247526
161,56050,7389581,5476446,0,0,0,1748698247566
162,58825,7413613,5494525,0,0,0,1748698247606
163,63989,7458919,5528497,0,0,0,1748698247646
164,70362,7500242,5560706,0,0,0,1748698247686
165,76112,7536385,5589330,0,0,0,1748698247726
166,79765,7572796,5617090,0,0,0,1748698247766
167,81143,7579063,5619205,0,0,0,1748698247806
168,86112,7580124,5621709,0,0,0,1748698247846
169,90244,7579118,5619926,0,0,0,1748698247886
170,92213,7573575,5614925,0,0,0,1748698247926
171,96564,7574633,5621487,0,0,0,1748698247966
172,100544,7566585,5618811,0,0,0,1748698248006
173,104103,7560193,5616893,0,0,0,1748698248046
174,107256,7559630,5621280,0,0,0,1748698248086
175,109421,7576757,5634601,0,0,0,1748698248126
176,109822,7569916,5631013,0,0,0,1748698248166
177,109745,7562786,5620956,0,0,0,1748698248206
178,110426,7574477,5627503,0,0,0,1748698248246
179,111295,7587701,5636898,0,0,0,1748698248286
180,113298,7596986,5640946,0,0,0,1748698248326
181,114008,7607847,5649983,0,0,0,1748698248366
182,115512,7613463,5652986,0,0,0,1748698248406
183,116343,7620455,5658853,0,0,0,1748698248446
184,116449,7625108,5662298,0,0,0,1748698248486
185,116880,7628555,5664179,0,0,0,1748698248526
186,117867,7631845,5666366,0,0,0,1748698248566
187,119067,7636325,5670527,0,0,0,1748698248606
188,120134,7638773,5672423,0,0,0,1748698248646
189,121406,7641456,5675004,0,0,0,1748698248686
190,122104,7643271,5676491,0,0,0,1748698248726
191,122998,7643849,5676581,0,0,0,1748698248766
192,124083,7643646,5674868,0,0,0,1748698248806
193,125242,7645369,5677532,0,0,0,1748698248846
194,126245,7645281,5677559,0,0,0,1748698248886
195,127091,7644917,5676011,0,0,0,1748698248926
196,128514,7644888,5674778,0,0,0,1748698248966
197,129601,7645024,5674729,0,0,0,1748698249006
198,130796,7645775,5674974,0,0,0,1748698249046
199,131588,7646506,5675342,0,0,0,1748698249086
200,131640,7644551,5673200,0,0,0,1748698249126
201,165235,7485215,5559199,0,0,0,1748698253189
202,165557,7484773,5559194,0,0,0,1748698253229
203,166011,7482902,5557621,0,0,0,1748698253269
204,166279,7482627,5557182,0,0,0,1748698253309
205,166665,7481928,5556568,0,0,0,1748698253349
206,167294,7482151,5556916,0,0,0,1748698253389
207,167203,7481141,5556265,0,0,0,1748698253429
208,166900,7480667,5555728,0,0,0,1748698253469
209,166293,7480786,5555883,0,0,0,1748698253509
210,166227,7479866,5555032,0,0,0,1748698253549
211,166091,7479050,5554487,0,0,0,1748698253589
212,166517,7478549,5553912,0,0,0,1748698253629
213,166678,7477311,5552947,0,0,0,1748698253669
214,166954,7476881,5552391,0,0,0,1748698253709
215,167006,7477094,5552770,0,0,0,1748698253749
216,167045,7476663,5552469,0,0,0,1748698253789
217,167385,7476147,5551933,0,0,0,1748698253829
218,167699,7475837,5551653,0,0,0,1748698253869
219,168161,7475750,5551524,0,0,0,1748698253909
220,168444,7474834,5550688,0,0,0,1748698253949
221,169082,7474791,5550668,0,0,0,1748698253989
222,169178,7475247,5551177,0,0,0,1748698254029
223,168572,7474982,5550860,0,0,0,1748698254069
224,167872,7474991,5551065,0,0,0,1748698254109
225,167771,7474127,5550355,0,0,0,1748698254149
226,167805,7474011,5549970,0,0,0,1748698254189
227,167987,7474281,5550302,0,0,0,1748698254229
228,168332,7475450,5551125,0,0,0,1748698254269
229,168406,7476495,5551665,0,0,0,1748698254309
230,168320,7477904,5552590,0,0,0,1748698254349
231,168454,7478705,5553361,0,0,0,1748698254389
232,168778,7479810,5553828,0,0,0,1748698254429
233,168962,7480468,5554249,0,0,0,1748698254469
234,169423,7479482,5553341,0,0,0,1748698254509
235,169779,7478960,5552967,0,0,0,1748698254549
236,170260,7479829,5553656,0,0,0,1748698254589
